question,answer
What is AI?,Artificial Intelligence enables machines to perform tasks requiring human intelligence.
What is Machine Learning?,Machine Learning allows systems to learn from data.
What is Deep Learning?,Deep Learning uses neural networks with multiple layers.
What is NLP?,Natural Language Processing helps computers understand human language.
What is Python?,Python is a popular programming language.
What is Streamlit?,Streamlit is used to build data apps quickly.
What is a chatbot?,A chatbot is a program that simulates conversation.
What is TF-IDF?,TF-IDF measures word importance in documents.
What is cosine similarity?,It measures similarity between text vectors.
What is data science?,Data science extracts insights from data.
What is cloud computing?,Cloud computing provides computing services over the internet.
What is GitHub?,GitHub is a platform for hosting code repositories.
What is API?,API allows communication between software systems.
What is SQL?,SQL is used to manage databases.
What is database?,A database stores organized information.
What is neural network?,A neural network is inspired by the human brain.
What is computer vision?,Computer vision enables machines to interpret images.
What is cybersecurity?,Cybersecurity protects systems and data.
What is big data?,Big data refers to very large datasets.
What is IoT?,IoT connects physical devices to the internet.
What is supervised learning?,Learning using labeled data.
What is unsupervised learning?,Learning without labeled data.
What is reinforcement learning?,Learning through rewards and penalties.
What is data mining?,Discovering patterns in data.
What is blockchain?,Blockchain is a distributed ledger technology.
What is generative AI?,AI that creates content such as text and images.
What is ChatGPT?,ChatGPT is an AI conversational model.
What is Linux?,Linux is an open-source operating system.
What is programming?,Programming means writing instructions for computers.
What is algorithm?,An algorithm is a step-by-step solution to a problem.
